"ENSEMBL","log2FoldChange","pvalue","padj"
"ENSMUSG00000051951",-1.58475694981268,0.690959433097391,NA
"ENSMUSG00000103377",-0.00599310893848841,0.998915039477613,NA
"ENSMUSG00000102331",-0.320396062976561,0.915250708987653,NA
"ENSMUSG00000025902",0.51110651587522,0.124909267262831,0.29925969260556
"ENSMUSG00000104238",-0.967743095119993,0.826202546801129,NA
"ENSMUSG00000102269",0.080083584749076,0.920650794328279,NA
"ENSMUSG00000118917",-0.0090225972640953,0.99672875735001,NA
"ENSMUSG00000104328",-0.967733753679979,0.826204197646955,NA
"ENSMUSG00000098104",-2.88864722032295,0.16467877466451,NA
"ENSMUSG00000135930",0.95578490165379,0.828316459275803,NA
"ENSMUSG00000103265",-0.00600183872079889,0.998913459085292,NA
"ENSMUSG00000103922",0.586825255057427,0.426907868332222,0.626875535599344
"ENSMUSG00000033845",0.144269092696141,0.570495898417824,0.744549025851266
"ENSMUSG00000102275",-1.27962008900202,0.0182105165453788,0.0930470430748722
"ENSMUSG00000120403",-1.34745458763029,0.0583974433610964,0.188313282376785
"ENSMUSG00000136002",0.937536232078826,0.463249803877227,NA
"ENSMUSG00000025903",0.446233588451803,0.0962555767868255,0.254603518868187
"ENSMUSG00000104217",-1.85221912541207,0.671711021210891,NA
"ENSMUSG00000137875",-0.631798004585377,0.41095856781575,NA
"ENSMUSG00000033813",0.479512835077151,0.0633685950137142,0.198116129465564
"ENSMUSG00000062588",-0.956973306244616,0.550897817262762,NA
"ENSMUSG00000103280",-0.683439552224367,0.643608568593009,NA
"ENSMUSG00000002459",2.1535449773689,0.227837637190631,NA
"ENSMUSG00000033793",0.306850572888533,0.10913299023889,0.274723622089109
"ENSMUSG00000143188",-0.689288334388002,0.589974934852804,NA
"ENSMUSG00000143351",-0.00599310893848827,0.998915039477613,NA
"ENSMUSG00000090031",-0.455313139501798,0.312593969694189,0.522378207742904
"ENSMUSG00000025907",-0.209243872560296,0.558043502661868,0.734341447290971
"ENSMUSG00000143943",-0.967733753679979,0.826204197646955,NA
"ENSMUSG00000103355",0.955794243093804,0.828314807453024,NA
"ENSMUSG00000103845",-0.00599897435926799,0.998913977633729,NA
"ENSMUSG00000033740",-1.16118916737059,0.789500231636259,NA
"ENSMUSG00000102135",-0.00600831579593561,0.998912286510836,NA
"ENSMUSG00000120372",-1.4330448981521,0.265492348659951,NA
"ENSMUSG00000051285",0.0526262859901721,0.880377621777849,0.939588301632219
"ENSMUSG00000138092",1.56594998568124,0.438145315540257,NA
"ENSMUSG00000098201",1.66859695745699,0.670914189012939,NA
"ENSMUSG00000103509",0.61082179654643,0.460133726804004,0.653810690300911
"ENSMUSG00000126455",0.955794243093803,0.828314807453024,NA
"ENSMUSG00000048538",1.89466674545446,0.000114711802786356,0.00577612948859609
"ENSMUSG00000126493",-0.00599310893848827,0.998915039477613,NA
"ENSMUSG00000097797",-1.54635407942278,0.104171712930121,NA
"ENSMUSG00000135709",-0.967733753679979,0.826204197646955,NA
"ENSMUSG00000025909",-0.264004155303778,0.743061378279457,0.859966364861542
"ENSMUSG00000102647",-1.57843857184232,0.719177646278084,NA
"ENSMUSG00002074990",-0.00599310893848841,0.998915039477613,NA
"ENSMUSG00000103884",-0.00599310893848827,0.998915039477613,NA
"ENSMUSG00000084353",-0.967762893194938,0.772085020278366,NA
"ENSMUSG00000103933",-1.78496645543644,0.305935546612908,NA
"ENSMUSG00002075967",-0.00599310893848848,0.998915039477613,NA
"ENSMUSG00000123491",0.0900772411342037,0.953525709241967,NA
"ENSMUSG00000066693",-0.00599410095296251,0.998431171740607,NA
"ENSMUSG00000102316",-1.62211529083397,0.152274507682203,NA
