"ENSEMBL","log2FoldChange","pvalue","padj"
"ENSMUSG00000051951",-0.256239421494169,0.948204965476211,NA
"ENSMUSG00000103377",0.0239730290236014,0.995660070570974,NA
"ENSMUSG00000102331",2.03273393890331,0.504637810151795,NA
"ENSMUSG00000025902",-1.17243242511285,0.000297179410024634,0.00400272797377816
"ENSMUSG00000104238",0.98575103961588,0.823021568397098,NA
"ENSMUSG00000102269",-0.283497108262737,0.720221585798293,0.823507055841712
"ENSMUSG00000118917",2.32019870333015,0.320676885056191,NA
"ENSMUSG00000104328",0.985760381055893,0.823019919046216,NA
"ENSMUSG00000098104",1.06499031324239,0.59384794563331,NA
"ENSMUSG00000135930",0.0239636875835882,0.995661761671035,NA
"ENSMUSG00000103265",-1.83654515054217,0.674267027152215,NA
"ENSMUSG00000103922",-0.390738401676457,0.600462713218795,0.737107200399596
"ENSMUSG00000033845",0.0449863914815058,0.859650913309678,0.916200228822634
"ENSMUSG00000102275",0.682222288480556,0.200821298663762,0.355966457226854
"ENSMUSG00000120403",0.396835082957579,0.546630262541038,0.694018136345427
"ENSMUSG00000136002",0.248948606823375,0.857195415634584,NA
"ENSMUSG00000025903",-0.26116317990798,0.330421451895744,0.501549596744128
"ENSMUSG00000104217",1.87027058581011,0.668700730095313,NA
"ENSMUSG00000137875",0.973258873277438,0.220549904813288,0.380263849355441
"ENSMUSG00000033813",-0.75855229756783,0.00328982352784999,0.0211045989977016
"ENSMUSG00000062588",1.02297570814807,0.525742328311466,NA
"ENSMUSG00000103280",-0.35593320866003,0.798832350543373,NA
"ENSMUSG00000002459",-2.88106036570958,0.0971167812838166,NA
"ENSMUSG00000033793",-0.422304107182422,0.0273777830921036,0.0924731093432192
"ENSMUSG00000143188",-0.25004860008863,0.83451090291127,NA
"ENSMUSG00000143351",-0.93776761571789,0.831503814033808,NA
"ENSMUSG00000090031",-0.147796281632511,0.739994665899247,0.837003830738751
"ENSMUSG00000025907",-0.202111668222709,0.571341812005367,0.7132880384525
"ENSMUSG00000143943",0.985760381055893,0.823019919046216,NA
"ENSMUSG00000103355",0.023973029023601,0.995660070570974,NA
"ENSMUSG00000103845",-1.5416480388503,0.725402102380759,NA
"ENSMUSG00000033740",2.14101711517458,0.622560319732017,NA
"ENSMUSG00000102135",-1.54165496771448,0.72540089265873,NA
"ENSMUSG00000120372",3.37438543639193,0.0340043573600762,NA
"ENSMUSG00000051285",-0.237351545542473,0.497266807057981,0.654169298778581
"ENSMUSG00000138092",-1.46327580846345,0.470999321137078,NA
"ENSMUSG00000098201",-1.8348121107764,0.63891003240242,NA
"ENSMUSG00000103509",-0.738951803150338,0.36947205230949,0.539400357364471
"ENSMUSG00000126455",0.0239730290235999,0.995660070570974,NA
"ENSMUSG00000048538",-1.34179806173756,0.00698403259785741,0.0356290065810444
"ENSMUSG00000126493",-0.93776761571789,0.831503814033808,NA
"ENSMUSG00000097797",0.43038674462882,0.618299776020917,0.750806370132897
"ENSMUSG00000135709",0.985760381055893,0.823019919046216,NA
"ENSMUSG00000025909",0.0130943865869599,0.986827928520416,0.992719543558851
"ENSMUSG00000102647",1.59647791907288,0.716106263200053,NA
"ENSMUSG00002074990",0.0239730290236014,0.995660070570974,NA
"ENSMUSG00000103884",-0.93776761571789,0.831503814033808,NA
"ENSMUSG00000084353",-0.602643153268044,0.855731748097056,NA
"ENSMUSG00000103933",1.04915875347438,0.51687786692993,NA
"ENSMUSG00002075967",-0.93776761571789,0.831503814033808,NA
"ENSMUSG00000123491",-1.28230286980307,0.365097595706971,NA
"ENSMUSG00000066693",-2.89760690492856,0.317759994745135,NA
"ENSMUSG00000102316",2.66191587053292,0.0377325271409993,NA
"ENSMUSG00000103819",0.985760381055893,0.823019919046216,NA
"ENSMUSG00000101571",0.985760381055893,0.823019919046216,NA
"ENSMUSG00000135814",0.0239730290235999,0.995660070570974,NA
"ENSMUSG00000079671",-0.0168816990552178,0.961925491100085,0.978219084738543
"ENSMUSG00000103411",1.06312084373666,0.398503940236252,NA
"ENSMUSG00000061024",-0.501081728363486,0.0910547882097433,0.207031771282005
"ENSMUSG00000025911",0.141891837273545,0.586125302704758,0.724951318637563
"ENSMUSG00000081441",0.375635939466438,0.399537127410166,0.567452262152945
"ENSMUSG00000067879",1.78669811583326,0.257454851740684,NA
"ENSMUSG00000099827",1.87027058581011,0.668700730095313,NA
"ENSMUSG00000025912",0.75261426494991,0.193854159412455,0.348121409609589
"ENSMUSG00000123215",1.7700338899878,0.686072354053712,NA
"ENSMUSG00000045210",-0.933220804548647,0.0115828109249832,0.0510968480609452
"ENSMUSG00000097893",1.25896640727131,2.63150205964244e-06,0.0001212985262184
"ENSMUSG00000128816",-0.0616445478007144,0.972572827651567,NA
"ENSMUSG00000025915",-0.288240531183057,0.301774693012915,0.470814992660188
"ENSMUSG00000046334",0.023973029023601,0.995660070570974,NA
"ENSMUSG00002075801",0.0239636875835876,0.995661761671035,NA
"ENSMUSG00000098234",0.108624782899206,0.756368424163854,0.848332273061866
"ENSMUSG00000046101",-0.668190110001034,0.517586084114209,NA
"ENSMUSG00000099032",-3.66759574149176,6.76449821350074e-05,0.00143025020922844
"ENSMUSG00000104025",0.985760381055893,0.823019919046216,NA
"ENSMUSG00000025916",0.632791497823032,0.663152969814896,NA
"ENSMUSG00000025917",-0.186784651535864,0.135841399345256,0.273030264524067
